Title,Price,Price Per,Image URL
Vitamin Hit Lean And Green 350Ml 4 Pack,€5.00,€3.57/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/6b2bec14-0c8a-4a49-bf67-58df830c7fb6/cc331ab5-e8fd-4999-ba1c-599c566aeb5a_1658789651.jpeg?h=225&w=225
Volvic Touch of Fruit Peach & Raspberry Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/3bb39545-3fb4-4e4d-9584-f7a8ad918248/eb21dc5b-0bbc-4c43-a02d-d6b56f0b5295_2063825634.jpeg?h=225&w=225
Evian Natural Bottled Mineral Still Water Multipack 4x750ml,€4.39,€1.46/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/212027cc-c822-4e84-b4f4-bf5edc35129c/d4758c74-411a-4e92-b338-b73d51a08d4c_1627888952.jpeg?h=225&w=225
San Pellegrino Sparkling Natural Mineral Water 1L,€2.65,€2.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/b5233ef8-705a-46d6-8000-f7dfa36c47d8/67903354-524c-45ad-bcef-c0d58a5bad5f_1778155583.jpeg?h=225&w=225
Ballygowan Summer Fruits Spring Water 1.5 Litre,€2.09,€1.39/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/219694b8-7c84-4daa-870c-3a5c2397fb3b/dca49deb-31a8-41b9-b2a1-23b97ed81dd7_514300549.jpeg?h=225&w=225
Vitamin Hit Immunitea 4Packx350ml,€5.00,€3.57/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f4738033-0d7d-4c4a-896b-0838c37eb8c1/83c836d6-ea95-48d9-b4a9-fc4e9ae1fc40_261618148.jpeg?h=225&w=225
Ballygowan Mango & Passion Fruit Spring Water 1.5 Litre,€2.09,€1.39/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f178401d-2005-4dcd-916c-7a08ec83dd15/84406af4-c2c0-49d4-af60-25362571808f_171938950.jpeg?h=225&w=225
Deep River Rock Still 6 X 1.5Ltr,€5.55,€0.62/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/9a261b8e-954e-447a-ad61-b8a92d556dc5/8e3adea8-c604-41a5-b5d6-aa4566293c29_436647098.jpeg?h=225&w=225
Tesco Strawberry Flavoured Still Water 4X500ml,€2.30,€1.15/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/fd835b5d-0bf6-4734-b25c-4356f186b2a1/e3fc98e8-ae6a-4ec7-9c47-3c45ba4b3187_171404011.jpeg?h=225&w=225
Tipperary Strawberry Water 1.5L,€1.50,€1.00/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/a566f38d-dddd-4f1c-984c-b2551436ff0d/snapshotimagehandler_1134864858.jpeg?h=225&w=225
Vithit Immunitea Dragon Fruit 500Ml,€2.15,€4.30/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/e1b8c6a3-09d3-4230-8e38-8332078be7e6/bfbb7c83-6e94-4a5b-a6aa-ac23e283044f_2142902806.jpeg?h=225&w=225
Deep River Rock Sparkling Water 1.5 Litre,€1.40,€0.93/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/5d1bc012-adf4-4cda-a6de-e17a3b99cad5/e7d621ac-f289-4ae6-9ff1-00ca7d1ffaa3_2115121022.jpeg?h=225&w=225
Ballygowan 6 X 75Cl Sports,€6.59,€1.46/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/b87891cb-d58c-4527-abc7-9c7953ae3912/6c4fa354-8513-49f5-bf05-58fb0370f8aa_740414901.jpeg?h=225&w=225
S.Pellegrino Sparkling Water 6 X 250Ml,€5.39,€3.59/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/8675c923-ff32-4050-af46-f34ba3472b2c/db9d7ad1-dca8-4ab6-a537-854dbac4dc50_463576629.jpeg?h=225&w=225
Deep RiverRock Still Water 1.5 Litre,€1.40,€0.93/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/91fda749-e029-4136-bb03-3f30df61a2a1/9b3511c6-4c63-49de-a217-0a8e1be1340d_1238568910.jpeg?h=225&w=225
Tesco Lemon & Lime Flavoured Still Water 4X500ml,€2.30,€1.15/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/67dcdaeb-a5ab-49b3-b972-adc6d49ce301/165a389b-a140-4d75-bf59-9822cdf0c213_391182936.jpeg?h=225&w=225
Volvic Touch of Fruit Apple & Blackcurrant Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/a2518309-a732-4564-8ffc-e9d4d381ed48/ad774c79-f1a1-46cd-8bc4-1fbbc864e12c_1672642489.jpeg?h=225&w=225
Evian Natural Bottled Mineral Still Water 1L,€1.45,€1.45/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/cb6ede9f-b2d7-442f-965f-9fab1dfb0a0b/2d8b5958-f856-4067-827e-fe8d2a3de42e_1277435812.jpeg?h=225&w=225
Ballygowan Strawberry Spring Water 1.5 Litre,€2.09,€1.39/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/6d78be0d-d972-4345-9400-b776928ee774/9f3b5407-7a1a-42eb-99d6-f09edf2cbeb0_1052797842.jpeg?h=225&w=225
