Title,Price,Price Per,Image URL
Tesco Finest Tartare Sauce 175G,€2.50,€14.29/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/d24a282f-2691-48a5-8f01-8efb92f105db/47c1aa0d-d5d1-4975-8c71-016d0d3ae3e8_1170091527.jpeg?h=225&w=225
Tesco Finest French Dressing 225Ml,€2.85,€12.67/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/739f7cc5-6d8e-486f-9379-c6975b78ad0a/e948705b-2a36-48c6-9798-8d102c1f78fa_1275028945.jpeg?h=225&w=225
"Tesco Finest Sardines With Chilli, Lime & Coriander 105G",€1.30,€12.38/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/2a51edab-08af-403e-b4dc-956b69035f20/14c3009b-908d-4f53-ad36-f19a6435983d_718846596.jpeg?h=225&w=225
Tesco Finest Jalapeno Stuffed Olives 210G,€2.75,€26.19/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/552a3ac2-d4c7-46cb-b1fe-0ac37e1079f7/6b2b3c68-bd6d-4cb8-b7bf-e5d68b7bd9eb_1076791569.jpeg?h=225&w=225
Tesco Finest Sardines In Paprika & Tomato Sauce 105G,€1.30,€12.38/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/bbf6f888-dbf0-4e79-980e-ce3945fc2200/6c0172be-76c2-48a3-818f-1a6373e7d53d_409208585.jpeg?h=225&w=225
Tesco Finest Mackerel With Black Pepper 110G,€1.95,€17.73/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/b3544528-f894-4d95-818a-0e4c24011e6f/fce73e73-b64a-4390-a322-f17687c53119_1915650393.jpeg?h=225&w=225
Tesco Finest Hot Smoked Mackerel Fillets 110G,€1.95,€27.86/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/b24b20b6-6044-4856-ae15-05f95ae3b6c5/c9afae56-0aa2-437f-b41f-91948b02b211_1240466762.jpeg?h=225&w=225
Tesco Finest Tellicherry Pepper Corn Grinder 45G,€4.39,€97.56/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/7ee8a13a-5426-4f21-b8cb-1ef774c91d16/81d3fb58-1e65-4688-82a0-ef6956ce2068_1039075043.jpeg?h=225&w=225
Tesco Finest All Buttermini Tartlets 9S 90G,€3.70,€41.11/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/af44084a-29b8-4b97-84a6-6b4ee91e00ab/246a8e8f-1ea8-451d-b732-9ddbd371cf1c_973433442.jpeg?h=225&w=225
Tesco Finest Berry & Cherry Museli 500G,€2.65,€5.30/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/32b1b4cf-64e3-4905-b8ab-d395248c0ab5/aee35686-4917-4c14-b89e-dfd91aec6837_1308731797.jpeg?h=225&w=225
Tesco Finest Semi Dried Cherry Tomatoes 285G,€3.50,€19.44/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/ba8d5e0e-611b-48a0-9251-fc398f3b6ebe/22e3765b-32c3-4569-ab57-b09ffb3fe393_1476642706.jpeg?h=225&w=225
Tesco Finest Triple Belgian Chocolate 4 Pack Cookies,€3.00,€0.75/each,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest 4 Pack Belgian White Chocolate & Honeycomb Cookies,€3.00,€0.75/each,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest Nocellara Olives 200G,€2.75,€22.92/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/7bf7ea3c-17d7-44c8-beac-77c02d756085/c8d4faf0-f18a-4bf6-bf1e-13479f6cc31f_1732673050.jpeg?h=225&w=225
Tesco Finest Portobello Mushrooms 280G,€3.50,€23.33/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/a41458a5-94ac-4a86-97ab-1974efdc00ab/5f3cd707-21a8-4682-9401-9b69fe26f657_1749334865.jpeg?h=225&w=225
Tesco Finest Caperberries 280G,€3.50,€25.00/kg DR.WT,https://digitalcontent.api.tesco.com/v2/media/ghs/dc71adbd-7fa1-4416-b723-a3ab62a71544/758fdfb8-c2d2-45fc-9987-5ffae461df93_1718721726.jpeg?h=225&w=225
Tesco Finest Milk Chocolate And Orange 4 Pack Cookies,€3.00,€0.75/each,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Finest Orange Blossom Honey 340G,€3.99,€11.74/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/0e434d96-6cdf-4c0d-be5c-dfbfd417610c/5c80877d-98e1-45aa-84f4-5a4e3e56eb06_1218002805.jpeg?h=225&w=225
Tesco Finest Marc De Champagne Boxed Truffles 140G,€8.00,€57.14/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/60263055-421d-4099-891f-172a159c0f0a/8bfe7fc6-d172-4b07-a91e-76c955182556_303666698.jpeg?h=225&w=225
